"participant","condition","block","trial_n","rt","accuracy"
570,2,1,1,652,1
570,2,1,2,477,1
570,2,1,3,557,1
570,2,1,4,403,1
570,2,1,5,519,1
570,2,1,6,581,1
570,2,1,7,626,1
570,2,1,8,525,1
570,2,1,9,476,1
570,2,1,10,436,1
570,2,1,11,478,1
570,2,1,12,463,1
570,2,1,13,529,1
570,2,1,14,599,1
570,2,1,15,459,1
570,2,1,16,612,1
570,2,1,17,471,1
570,2,1,18,496,1
570,2,1,19,432,1
570,2,1,20,523,1
570,2,1,21,473,1
570,2,1,22,530,1
570,2,1,23,416,1
570,2,1,24,476,1
570,2,1,25,508,1
570,2,1,26,475,1
570,2,1,27,444,1
570,2,1,28,479,1
570,2,1,29,407,1
570,2,1,30,595,1
570,2,1,31,415,1
570,2,1,32,587,1
570,2,1,33,526,1
570,2,1,34,453,1
570,2,1,35,486,1
570,2,1,36,471,1
570,2,1,37,487,1
570,2,1,38,391,1
570,2,1,39,595,1
570,2,1,40,599,1
570,2,2,1,479,1
570,2,2,2,609,1
570,2,2,3,572,1
570,2,2,4,505,1
570,2,2,5,529,1
570,2,2,6,511,1
570,2,2,7,535,1
570,2,2,8,572,1
570,2,2,9,521,1
570,2,2,10,440,1
570,2,2,11,531,1
570,2,2,12,425,1
570,2,2,13,539,1
570,2,2,14,610,1
570,2,2,15,509,1
570,2,2,16,604,1
570,2,2,17,512,1
570,2,2,18,583,1
570,2,2,19,444,1
570,2,2,20,494,1
570,2,2,21,502,1
570,2,2,22,549,1
570,2,2,23,483,1
570,2,2,24,483,1
570,2,2,25,491,1
570,2,2,26,395,1
570,2,2,27,407,1
570,2,2,28,699,0
570,2,2,29,594,1
570,2,2,30,574,1
570,2,2,31,547,1
570,2,2,32,616,1
570,2,2,33,508,1
570,2,2,34,595,1
570,2,2,35,511,1
570,2,2,36,607,1
570,2,2,37,426,1
570,2,2,38,476,1
570,2,2,39,517,1
570,2,2,40,444,1
567,1,1,1,1329,1
567,1,1,2,595,1
567,1,1,3,391,1
567,1,1,4,450,1
567,1,1,5,645,1
567,1,1,6,982,1
567,1,1,7,779,1
567,1,1,8,866,1
567,1,1,9,645,1
567,1,1,10,558,1
567,1,1,11,575,1
567,1,1,12,865,1
567,1,1,13,511,1
567,1,1,14,495,1
567,1,1,15,550,1
567,1,1,16,322,1
567,1,1,17,341,1
567,1,1,18,312,1
567,1,1,19,309,1
567,1,1,20,325,1
567,1,1,21,399,1
567,1,1,22,509,1
567,1,1,23,513,1
567,1,1,24,606,1
